Question,Answer,,,,,,,,,,,,,,,,,,
What are ESG funds?,"ESG funds are investment funds that focus on Environmental, Social, and Governance criteria to evaluate companies.",,,,,,,,,,,,,,,,,,
What is alpha in investments?,Alpha measures the excess return of an investment relative to the return of a benchmark index.,,,,,,,,,,,,,,,,,,
What is beta in investments?,Beta measures the volatility or risk of an investment compared to the market as a whole.,,,,,,,,,,,,,,,,,,
What is a hedge fund?,A hedge fund is a pooled investment fund that uses different strategies to earn active returns for its investors.,,,,,,,,,,,,,,,,,,
What is the expense ratio in mutual funds?,The expense ratio is the annual fee charged by a mutual fund for managing the investor's money.,,,,,,,,,,,,,,,,,,
What is rebalancing a portfolio?,Rebalancing is the process of realigning the weightings of a portfolio by buying or selling assets to maintain the original or desired level of asset allocation.,,,,,,,,,,,,,,,,,,
What is a growth stock?,A growth stock is a share in a company that is expected to grow at an above-average rate compared to its industry or the overall market.,,,,,,,,,,,,,,,,,,
What is value investing?,Value investing is an investment strategy that involves picking stocks that appear to be trading for less than their intrinsic or book value.,,,,,,,,,,,,,,,,,,
What is technical analysis?,"Technical analysis is the evaluation of securities by analyzing statistical trends from trading activity, such as price movement and volume.",,,,,,,,,,,,,,,,,,
What is fundamental analysis?,"Fundamental analysis evaluates a security's intrinsic value by examining related economic, financial, and other qualitative and quantitative factors.",,,,,,,,,,,,,,,,,,
What is market capitalization?,"Market capitalization is the total market value of a company’s outstanding shares, calculated as share price times the number of outstanding shares.",,,,,,,,,,,,,,,,,,
What are derivatives?,"Derivatives are financial contracts whose value is derived from an underlying asset such as stocks, bonds, or commodities.",,,,,,,,,,,,,,,,,,
What is a put option?,A put option is a financial contract that gives the holder the right to sell an asset at a specified price before the contract expires.,,,,,,,,,,,,,,,,,,
What is a call option?,A call option is a financial contract that gives the holder the right to buy an asset at a specified price before the contract expires.,,,,,,,,,,,,,,,,,,
What is leverage in investing?,Leverage refers to the use of borrowed capital to increase the potential return of an investment.,,,,,,,,,,,,,,,,,,
What is a dividend?,A dividend is a portion of a company's earnings distributed to shareholders.,,,,,,,,,,,,,,,,,,
What is inflation?,"Inflation is the rate at which the general level of prices for goods and services rises, eroding purchasing power.",,,,,,,,,,,,,,,,,,
What is asset allocation?,"Asset allocation is an investment strategy that aims to balance risk and reward by apportioning a portfolio's assets according to individual goals, risk tolerance, and investment horizon.",,,,,,,,,,,,,,,,,,
What is passive investing?,Passive investing is a strategy that aims to maximize returns by minimizing buying and selling and holding a diversified portfolio long-term.,,,,,,,,,,,,,,,,,,
What is active investing?,Active investing involves ongoing buying and selling decisions to outperform a benchmark index.,,,,,,,,,,,,,,,,,,
"What is the difference between large-cap, mid-cap, and small-cap stocks?","Large-cap stocks are shares of large companies with high market capitalization; mid-cap stocks are medium-sized companies, and small-cap stocks are smaller companies.",,,,,,,,,,,,,,,,,,
What is a financial advisor?,A financial advisor is a professional who provides financial services and advice to clients based on their financial situation.,,,,,,,,,,,,,,,,,,
What is a debt fund?,A debt fund is a mutual fund that invests in fixed-income securities like bonds and treasury bills.,,,,,,,,,,,,,,,,,,
What are REITs?,"REITs, or Real Estate Investment Trusts, are companies that own, operate, or finance income-generating real estate.",,,,,,,,,,,,,,,,,,
What is a blue-chip stock?,"A blue-chip stock is a share in a well-established, financially stable, and historically secure company.",,,,,,,,,,,,,,,,,,
What is a stop-loss order?,A stop-loss order is an order placed with a broker to buy or sell once the stock reaches a certain price to limit an investor's loss.,,,,,,,,,,,,,,,,,,
What is capital gains tax?,Capital gains tax is the tax on the profit made from the sale of an asset.,,,,,,,,,,,,,,,,,,
What is a balanced fund?,A balanced fund is a mutual fund that invests in a mix of stocks and bonds.,,,,,,,,,,,,,,,,,,
What is margin trading?,"Margin trading involves borrowing money from a broker to trade securities, allowing you to buy more than you can afford with your own money.",,,,,,,,,,,,,,,,,,
What is dollar-cost averaging?,Dollar-cost averaging is an investment strategy where an investor divides up the total amount to be invested across periodic purchases of an asset.,,,,,,,,,,,,,,,,,,
What are cyclical stocks?,Cyclical stocks are stocks whose performance is tied to the economic cycle.,,,,,,,,,,,,,,,,,,
What are defensive stocks?,Defensive stocks are stocks that provide consistent dividends and stable earnings regardless of the state of the market.,,,,,,,,,,,,,,,,,,
What is the difference between growth and value stocks?,"Growth stocks are expected to grow at an above-average rate, while value stocks are considered undervalued in price.",,,,,,,,,,,,,,,,,,
What is market sentiment?,Market sentiment is the overall attitude of investors toward a particular security or the financial market.,,,,,,,,,,,,,,,,,,
What is a trailing stop order?,A trailing stop order is a stop order that can be set at a defined percentage or dollar amount away from a stock's current market price.,,,,,,,,,,,,,,,,,,
